date,exdate,cp_flag,delta,IV,time_to_maturity,Close,Log_return,ttm_days,RV,VRP
2018-09-26,2018-10-19,0,0.502973,0.551835,0.0630136986301369,20.6386661529541,-0.0214960497755424,23,0.4732512165536853,0.0785837834463146
2018-09-27,2018-10-19,0,0.504046,0.555472,0.0602739726027397,20.501333236694336,-0.0081213547428966,22,0.4854061858050916,0.0700658141949083
2018-09-28,2018-10-26,0,0.500842,0.704135,0.0767123287671232,17.65133285522461,-0.0006674942605877,28,0.4475754400789473,0.2565595599210526
2018-10-01,2018-11-09,0,0.501776,0.655187,0.1068493150684931,20.713333129882812,0.0177197766264856,39,0.4920568250160105,0.1631301749839894
2018-10-02,2018-11-09,0,0.500625,0.647524,0.1041095890410958,20.06800079345703,0.0076593142269537,38,0.4986250444396204,0.1488989555603795
2018-10-03,2018-11-02,1,-0.499892,0.626017,0.0821917808219178,19.65333366394043,0.0212522836526628,30,0.4303040609958182,0.1957129390041818
2018-10-04,2018-11-09,0,0.503218,0.678961,0.0986301369863013,18.788667678833008,-0.0094612250326504,36,0.4548996466532097,0.2240613533467902
2018-10-05,2018-11-09,1,-0.501631,0.770373,0.0958904109589041,17.463333129882812,-0.0666803518306304,35,0.4961230835082866,0.2742499164917133
2018-10-08,2018-11-16,1,-0.503455,0.795815,0.1068493150684931,16.70400047302246,-0.0164464935454688,39,0.4800961007446246,0.3157188992553754
2018-10-09,2018-11-09,0,0.500949,0.811997,0.084931506849315,17.520000457763672,-0.0049052529141322,31,0.4648638167878183,0.3471331832121816
2018-10-10,2018-11-09,1,-0.500997,0.851351,0.0821917808219178,17.125333786010742,-0.0238138750970397,30,0.4759155903427967,0.3754354096572032
2018-10-11,2018-11-09,0,0.500128,0.848281,0.0794520547945205,16.815332412719727,-0.0372961985807187,29,0.4878899613840422,0.3603910386159577
2018-10-12,2018-11-09,1,-0.498317,0.783524,0.0767123287671232,17.25200080871582,0.0625140824557449,28,0.5280047640542808,0.2555192359457192
2018-10-15,2018-11-23,0,0.498747,0.718618,0.1068493150684931,17.305999755859375,0.0307385125354172,39,0.4786640487365686,0.2399539512634313
2018-10-16,2018-11-09,1,-0.503561,0.759427,0.0657534246575342,18.439332962036133,-0.0196544732936809,24,0.5404822841331423,0.2189447158668577
2018-10-17,2018-11-09,1,-0.503703,0.766564,0.0630136986301369,18.118667602539062,0.0561666242646767,23,0.5822980976451809,0.1842659023548191
2018-10-18,2018-11-16,1,-0.499705,0.748715,0.0794520547945205,17.5939998626709,-0.0520127064076732,29,0.5638125085083513,0.1849024914916487
2018-10-19,2018-11-16,1,-0.500524,0.781436,0.0767123287671232,17.333332061767578,-0.0179697137518167,28,0.5630210746245089,0.2184149253754911
2018-10-22,2018-11-23,0,0.501386,0.752491,0.0876712328767123,17.39666748046875,0.0034719442089692,32,0.5428401216857716,0.2096508783142284
2018-10-23,2018-11-16,0,0.4996,0.771485,0.0657534246575342,19.60933303833008,0.0074490467049331,24,0.4721376126847724,0.2993473873152275
2018-10-24,2018-11-30,1,-0.499543,0.759566,0.1013698630136986,19.233333587646484,-0.0349270163418855,37,0.5233082978863847,0.2362577021136153
2018-10-25,2018-11-30,0,0.500866,0.580013,0.0986301369863013,20.99066734313965,-0.0219744915626131,36,0.5278945864941605,0.0521184135058394
2018-10-26,2018-11-30,0,0.500531,0.570666,0.0958904109589041,22.059999465942383,-0.0398166077882478,35,0.5344667126060733,0.0361992873939267
